"","OMIMId","DLncs","DGenes","DGenNum","DLncNum","OMIMName"
"26",608446,"CDKN2B-AS1;MIAT","LRP8",1,2,"MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO"
"27",102200,"H19;HOTAIR;MALAT1;MEG3","AIP;GNAS",2,4,"PITUITARY ADENOMA, GROWTH HORMONE-SECRETING"
"28",176270,"H19;MKRN3-AS1","NDN",1,2,"PRADER-WILLI SYNDROME"
"29",108725,"CDKN2B-AS1;H19",NA,0,2,"ATHEROSCLEROSIS SUSCEPTIBILITY"
"30",109100,"GAS5;ZFAT-AS1","PDCD1;AIRE;TLR5;CTLA4",4,2,"AUTOIMMUNE DISEASE"
"31",109543,"DLEU2;GAS5;HOTAIR;MALAT1;MIR155HG;SNHG5;TUG1",NA,0,7,"LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2"
"32",115470,"CECR3;CECR9",NA,0,2,"CAT EYE SYNDROME"
"33",151400,"DLEU2;MIR155HG","ARL11",1,2,"LEUKEMIA, CHRONIC LYMPHOCYTIC"
"34",161550,"CDKN2B-AS1;HOTAIR;LINC01315;MALAT1",NA,0,4,"NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 2"
"35",502000,"BCYRN1;KCNQ1DN",NA,0,2,"AGING"
"36",605572,"BDNF-AS;H19;SNHG11",NA,0,3,"ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 2"
"37",606445,"GAS5;SNHG5","CARD11",1,2,"PERSISTENT POLYCLONAL B-CELL LYMPHOCYTOSIS"
"38",607248,"ADAMTS9-AS2;CCDC26;CDKN2B-AS1;H19;MEG3",NA,0,5,"GLIOMA SUSCEPTIBILITY 4"
"39",608035,"CDKN2B-AS1;GAS5;H19;LINC00032",NA,0,4,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 4"
"40",608557,"CDKN2B-AS1;MIAT",NA,0,2,"MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 2"
"41",104300,"BCYRN1;CDKN2B-AS1;GDNF-AS1;HAR1A;HAR1B;SNHG3;SOX2-OT","APP;SORL1",2,7,"ALZHEIMER DISEASE"
"42",168600,"LINC01262;UCHL1-AS1","PARK7;PARK2;HTRA2;GBA;SNCAIP;SNCA",6,2,"PARKINSON DISEASE, LATE-ONSET"
"43",143100,"BDNF-AS;DGCR5;HAR1A;HAR1B;HTT-AS;MEG3;NEAT1;TUG1","HTT",1,8,"HUNTINGTON DISEASE"
"44",155600,"CDKN2B-AS1;GAS5;H19;LINC00032",NA,0,4,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 1"
"45",182280,"HOTAIR;MALAT1",NA,0,2,"SMALL CELL CANCER OF THE LUNG"
"46",600634,"H19;MEG3","AIP",1,2,"PITUITARY ADENOMA, PROLACTIN-SECRETING"
"47",605552,"BDNF-AS;H19;SNHG11",NA,0,3,"ABDOMINAL OBESITY-METABOLIC SYNDROME"
"48",606856,"HOTAIR;MALAT1;PVT1","PALLD",1,3,"PANCREATIC CANCER, SUSCEPTIBILITY TO, 1"
"49",607107,"CDKN2B-AS1;HOTAIR;LINC01315;MALAT1",NA,0,4,"NASOPHARYNGEAL CARCINOMA"
"50",607485,"MALAT1;NEAT1","GRN",1,2,"FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED"
"51",125853,"CDKN2B-AS1;LINC01370;LINC00271;MALAT1;PDZRN3-AS1;PVT1","PDX1;HNF1B;LIPC;KCNQ1;INPPL1;MAPK8IP1;ENPP1;TCF7L2;PPP1R3A;INSR;HNF4A;ADIPOQ;MCF2L2;NEUROD1;AKT2;SLC2A4;IRS1",17,6,"DIABETES MELLITUS, NONINSULIN-DEPENDENT"
"52",222100,"IGF2-AS;MEG3;PVT1","SH2B3",1,3,"DIABETES MELLITUS, INSULIN-DEPENDENT"
"53",181500,"BDNF-AS;DAOA-AS1;HAR1A;HAR1B;LINC00271;MIAT;TRAF3IP2-AS1","FXYD6;DISC1;RGS4",3,7,"SCHIZOPHRENIA"
